F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-318,46.89,2.22,-6.09,Medium,-9.88,21249.1,-5.96,0.02,-347.28,-62.88,2,-24,1871.82,2080.62,-210.38,-5206.92,-2665.86,-45.36,-1251.21,UK,189.12,44.66,-253.19,103.63,-30.3,-2275.93,12,-1113.42,-876.24,-37702.56,121.66,464.14,38.96,-1882.76,-72.18,-1133.51
-203.38,14.58,22.92,10.68,High,71.04,12680.62,110.62,0.6,-386.79,-58.14,4,-27.24,-1374.09,2608.48,-209.31,12409.77,14255.61,-43.14,-1178.99,UK,426.66,50.32,27.82,54.77,-10.08,-3014.96,4,-1981.23,-908.02,-36845.19,137.97,494.06,41.82,-1752.18,-340.95,2476.47
-244.62,52.2,9.99,32.02,High,46.49,15857.18,200.94,0.02,-275.28,-82.86,3,-16.44,-3354.21,3186.34,-241,-5778.33,12167.82,-37.98,-1536.16,USA,60.51,46.82,-368.45,56.52,-17.08,1650.99,10,-1112.94,-1479.8,-38881.32,93.07,-158.01,36.08,-1984.86,-350.16,215.81
-211.96,49.68,4.65,-10.78,High,-5.71,14410.68,97.12,46.24,-224.94,-73.77,5,-26.85,-179.49,5171.58,-197.54,1481.85,4556.46,-38.3,-1834.81,USA,153.09,52.02,144.34,131.84,-28.92,-2718.18,10,-1145.1,-1158.67,-38043.12,165.39,296.58,39.74,-2493.76,-255.06,705.28
-240.74,18.63,23.73,50.62,Low,59.19,11096.16,120.08,0.5,-326.19,-87.99,3,-31.68,-3082.11,996.44,-201.12,-4850.07,1977.57,-35.88,-1647.83,USA,56.25,48.78,-685.74,139.97,-33.18,2739.11,4,-1507.29,-1201.79,-31610.55,130.31,748.8,32.8,-1416.96,-231.9,983.07
-314.38,51.33,14.52,20.95,Medium,67.64,15800.24,181.56,122.78,-307.2,-74.73,4,-20.73,-2199.09,1868.48,-196.08,-16263.36,7849.17,-40.1,-1107.56,Rest,56.67,43.88,-447.81,46.31,-23.68,-7164.98,8,-2419.74,-978.12,-30841.89,123.78,516.56,44.84,380.86,-267.6,3819.7
-266.56,48.69,6.93,-63.93,Very low,-14.88,12357.76,190.64,14.42,-268.29,-75.69,5,-34.74,-1409.31,2148.34,-247.43,-4468.41,27872.19,-42.76,-1498.81,UK,-124.2,47.02,-290.46,23.5,-22.04,-451.9,6,-514.29,-1497.79,-26446.35,152.49,345.47,48.58,-2188.76,-223.02,145.34
-166.68,47.46,3.51,40.6,Very low,8.07,9660.06,296.58,1.38,-150.15,-73.2,4,-25.47,-2254.26,3117.78,-208.25,10158.51,4143.18,-37.78,-1660.64,UK,69.84,49.18,17.37,116.2,-18.86,2589.23,6,-2277.33,-1322.02,-24695.19,132.67,134.28,36.86,-2904.2,-238.35,349.3
-193.42,51.42,7.86,-7,Very high,40.02,12019.18,211.62,24.4,-226.83,-70.65,5,-15.75,-1221.27,2038.84,-258.62,150.69,19214.79,-45.94,-1502.34,Europe,292.89,53.8,-146.63,159.55,-22.56,491.73,2,-2581.92,-857.88,-48815.64,173.29,691.69,45.54,-2432.36,-455.19,1685.2
-354.98,34.56,2.16,-6.3,Medium,31.54,5009.5,179.44,3275.12,-465.75,-78.42,4,-17.46,-458.49,2230.56,-226.63,2273.07,-489.6,-40.62,-1484.67,USA,68.13,44.52,-563.18,95.1,-20.7,-2734.89,0,-2342.91,-984.52,-52570.08,140.47,621.07,42.68,-1864.32,-376.59,2230.04
-150.48,61.56,18.81,43.78,Medium,41.06,4703.82,212.44,0.04,-328.23,-64.56,4,-28.86,-2234.49,2786.46,-244.08,-11368.38,11066.31,-45.46,-1368.56,Rest,23.34,38.8,32.98,79.66,-22.38,-3742.52,14,-2264.25,-942.16,-32421.9,133.31,236.17,35.84,-1716.18,-318.78,-150.32
-271.24,48.03,5.94,-21.57,High,-11.46,11457.84,181.5,1.34,-383.22,-78.6,4,-27.96,-3371.67,1677.18,-206.95,-16732.47,-3373.32,-43.16,-965.44,Rest,221.49,39,411.16,101.54,-34.08,-4992.33,8,-2599.02,-1327.8,-31829.43,106.96,568.63,34.06,-2089.74,-349.86,480.05
-283.22,44.64,7.62,16.12,High,41.96,18878.68,110.96,0.02,-502.08,-45.57,5,-42.27,784.56,3114.54,-220.48,-6149.22,-6238.95,-41.78,-1064.67,USA,90.3,46.48,-71.17,92.09,-32.16,-2330.77,10,-862.02,-530.81,-23521.38,96.92,112.01,44.92,-3020.24,-254.76,-153.39
-151.82,38.07,11.19,-11.23,Medium,47.59,11290.88,195.46,33.42,-365.76,-59.4,6,-29.7,-4821.54,3220.88,-197.9,-12188.52,10060.02,-37.56,-1623.24,UK,110.67,50.22,148.84,49.38,-27.38,-5568.69,10,370.38,-980.05,-36182.73,42.51,665.29,30.64,-2047.4,-285.12,1367.93
-312.88,56.76,19.44,-43.55,Medium,5.74,14038.36,73.48,0.1,-529.5,-75.9,0,-18.93,-710.88,2074.58,-250.71,-10362.39,9871.11,-40.94,-1054.67,Rest,58.5,46.12,409.24,115.79,-15.88,-3779.77,10,-2137.92,-1370.48,-34594.71,92.24,143.41,44.46,-1610.6,-338.88,646.28
-235.12,51.36,5.79,27.62,Very low,-65.58,15590.26,172.92,0,-393.48,-67.17,0,-16.44,-398.79,124.4,-232.78,-14519.25,16052.85,-44.06,-1689.65,Europe,-131.55,40.22,283.36,89.09,-24.8,-9602.3,4,-1482.33,-1554.03,-32585.19,123.62,540,39.18,-2421.54,-187.02,-1171.58
-191.12,45.3,9.63,46.6,Medium,35.12,8977.9,178.44,4.24,-284.19,-75.96,5,-18.87,-3555.84,1812.96,-228.7,-3774.06,9645.78,-43.64,-1328.13,USA,491.1,38.5,-330.57,89.42,-18.08,-6385.96,6,-1960.71,-1050.39,-33017.55,101.86,1020.97,38.94,-2711.3,-49.32,223.22
-210.62,61.38,16.38,-8.25,Low,34.16,9620.04,177,17.64,-522.09,-83.85,4,-21.48,-4406.85,1161.98,-170.13,-11994.36,2874.69,-38.26,-1466.46,USA,106.59,47.78,-411.03,107.08,-24.78,-6259.03,8,-1011.84,-744.31,-25366.02,144,355.09,39.18,-2375,-223.14,319.81
-192.26,82.8,11.04,50.07,Medium,39.27,14759.44,162.06,0.6,-377.49,-75.57,0,-29.88,-1467.84,2834.38,-204.47,9878.64,2858.49,-45.98,-890.65,USA,180.45,47.66,350.55,150.07,-29.32,-3638.36,8,-1991.7,-955.38,-47843.01,204.9,498.08,43.76,-1006.34,-416.07,913.15
-205.38,51.24,2.25,-3.46,Medium,38.13,6308.94,145.38,0.58,-577.56,-75.03,7,-22.29,-3874.35,1704.96,-198.6,-23656.14,5180.13,-36.24,-1666.72,Rest,77.13,43.5,-120.55,96.62,-30.78,-1707.03,8,-1443.12,-1581.42,-38304.54,133.74,730.4,24.42,-3083.68,-171.57,-103.55
-222.4,54.93,21.36,-22.93,Medium,27.73,9933.68,55.46,104.46,-397.95,-71.88,7,-20.52,-2069.76,1486.86,-213.1,5443.38,9511.71,-38.68,-1528.91,Europe,92.46,37.48,-256.6,165.75,-27.28,-2560.34,10,-2066.49,-1722.03,-37601.28,79.56,413.87,25.6,-1547.64,-309.9,1641.78
-278.68,49.77,11.73,27.74,High,100.72,11828.58,275.62,16.14,-357.75,-76.74,3,-42.27,-2043.75,1887.7,-266.82,-141,17828.28,-49.58,-1689.97,Europe,111.57,47.26,-667.36,110.5,-23.18,-5045.75,8,-680.64,-1182.34,-34400.4,144.91,648.3,26.74,-1664.52,-320.34,1076.97
-249.44,27,13.08,-11.05,Very low,28.62,13445.14,212.52,1.02,-113.97,-104.01,1,-9.12,-2092.68,2372.56,-210.49,-4074.9,7136.43,-47.2,-1313.45,Europe,-4.08,33.94,-99.82,115.82,-30.36,-8444.25,8,1300.59,-1109.68,-31614.45,149.32,432.68,36.5,-2290.56,-233.79,-266.61
-278.64,39.24,5.46,-22.84,High,73.22,9689.68,247.46,1.14,-377.97,-63.87,4,-25.05,-1912.17,2590.76,-272.53,-2651.13,2293.56,-37.62,-1375.12,USA,83.49,40.46,158.22,117.75,-13.78,-2214.24,2,-1102.02,-1291.6,-29450.43,236.01,114.73,39.5,-1711.04,-94.05,1296.89
-124.98,47.7,7.41,4.64,Low,49.07,5200.06,128.14,0.16,-442.02,-65.91,3,-44.73,-2493.57,2059.84,-234.21,-4940.67,2191.95,-36.9,-1362.22,UK,183.78,42.56,-177,168.79,-14.64,1478.97,8,-104.58,-716.78,-29700.15,157.26,947.75,32.62,-2444.44,-399.06,249.37
-193.62,44.34,9.75,-6.88,Low,-52.79,16116.08,163.04,25.04,-364.68,-53.88,1,-14.25,-4047.96,3021.32,-194.41,-8714.43,17325.39,-38.06,-927.51,Rest,-107.16,47.28,-332.16,25.93,-25.8,-5211.24,4,-1354.77,-778.83,-16050.51,144.94,378.71,54.36,-2233.28,-152.01,3367.71
-123.76,50.88,16.32,-34.93,Low,8.43,12548.42,145.06,0.02,-309.99,-82.44,8,-23.4,-2022.57,4688.64,-194.94,13015.38,21534.3,-42.14,-1445.62,Europe,107.76,46.48,-64.72,130.3,-23.68,-5063.12,14,-1724.58,-1103.8,-35733.18,117.39,515.66,42.94,-683.84,-293.34,43.58
-332.14,32.61,8.97,-24.07,Very low,28.45,12614.62,215.74,0.2,-461.61,-65.67,7,-15.33,-2027.49,923.92,-235.48,-6736.35,4388.85,-59.38,-1506.45,Rest,24.15,37.24,15.59,36.06,-22.68,-2926.92,8,-2059.92,-1334.41,-24482.28,184.72,282.66,32.4,-2332.36,-238.68,-162.1
-232.58,36.45,2.34,26.9,Very low,64.67,5195.24,118.34,0.12,-386.22,-72.81,3,-23.73,-1682.49,2572.82,-242.49,-5405.67,13215.6,-42.66,-1156.91,Europe,103.23,46.02,43.78,109.63,-27.4,-4337.45,10,185.34,-1384.13,-34670.94,125.89,240.13,36.18,-2378.82,-175.53,-672.78
-148.74,54.36,2.61,25.46,Low,-16.7,2802.78,153.52,2,-619.29,-93.39,4,-41.7,-2222.91,1508.12,-245.53,2864.64,8299.8,-40.7,-1150.15,Europe,-43.41,34.86,-216.11,106.08,-23.96,-7617.99,6,-2508.99,-2208.33,-30617.67,135.55,-22.89,39.36,-1954.6,-246.06,969.81
-257.7,63.81,7.89,3.05,Very low,5,16246.7,223.04,1233.64,-506.16,-72.39,1,-18.06,-3449.37,2304.98,-242.51,-8448.18,8248.56,-49.98,-1500.64,UK,158.82,35.6,-309.73,93.36,-25.14,-5554.34,12,-1567.41,-818.47,-41106.72,142.61,5.35,41,-1764.42,-224.58,-39.38
-224.12,40.26,2.52,7.98,Very high,53.43,12483.16,96.34,3.32,-237.63,-67.38,6,-21.66,-2660.34,2488.08,-220.86,-11584.47,19423.38,-43.96,-1706.71,USA,5.55,47.12,-1.21,163.45,-32.44,-2350.25,2,-1476.27,-691.8,-41086.47,111.5,358.63,37.08,-1656,-353.04,898.88
-301.94,40.38,20.19,11.26,Low,-18.27,7554.96,78.72,4.44,-454.77,-68.16,5,-36.69,-2087.46,1719.7,-271.57,-19486.8,-7273.92,-41.84,-801.37,UK,211.44,57.14,-403.19,62.92,-43.18,-670.04,10,-631.68,-889.32,-25332.9,107.32,756.19,33.34,-1570.72,-133.53,-305.96
-307.48,32.64,11.97,38.75,Low,92.52,6459.14,215.46,172.06,-412.65,-56.28,7,-22.56,-1868.85,1092.38,-220.32,3695.61,7388.76,-44.4,-1436.81,UK,-83.85,44.82,-483.18,140.61,-39.68,-6663.84,4,-1133.61,-1352.85,-38916.21,103.89,432.22,40.58,-2799.14,-177.93,817.36
-284.66,52.26,6.51,-9.46,Low,-14.83,16025.76,145.24,0.2,-113.91,-63.39,3,-44.19,-3394.17,2739.38,-203.58,6559.26,4580.94,-40.48,-587.23,Rest,153.66,45.22,-381.01,112.88,-12.86,-2450.92,8,-972.99,-1478.79,-26861.43,135.13,286.86,20.06,-2978.48,-146.52,6.74
-225.26,46.59,25.32,-11.99,High,35.97,12642.56,263.1,41.62,-419.82,-73.86,3,-26.22,-3197.79,1384.04,-220.69,903.33,-819.57,-37.8,-1634.26,USA,169.92,51.42,-297.73,139.81,-29.26,-1292.49,8,-940.47,-1423.46,-44879.85,154.42,261.14,43.08,-2299.32,-232.68,1032.36
-245.94,33.09,13.8,20.34,Medium,90.81,17036.7,254,3.88,-403.2,-64.62,6,-25.08,-2120.46,3492.9,-224.3,438.93,-4044.75,-49.94,-1667.06,Europe,38.19,37.04,-249.4,152.34,-25.06,-2994,4,-1936.68,-982.15,-40693.26,146.59,454.46,40.16,-1539.72,-315.39,718.41
-191.68,46.68,7.11,14.11,Very low,3.56,2042.9,213.36,14.12,-391.23,-54.81,3,-35.94,-2919.84,1896.44,-343.24,19796.55,13408.11,-53.7,-1474.38,USA,178.2,43.8,-503.19,40.61,-25.8,-25.84,2,-1104,-1016.98,-34776.21,121.1,459.88,37.58,-2009.32,-83.22,395.25
-227.46,42.99,15.3,3.84,Very low,52.35,5444.28,266.26,1.48,-505.23,-80.52,7,-21.9,-2433.72,2108.52,-215.96,1354.92,-6746.1,-43.9,-1532.67,USA,73.86,42.7,-523.9,161.5,-30.4,-4587.63,14,-1772.94,-1448.37,-22184.91,130.43,664.88,41.66,-2029.94,-223.98,-159.28
-268.2,48.66,14.58,23.91,Very high,52.9,9070.76,155.64,0.66,-445.44,-73.11,1,-11.58,-2577.42,977.32,-264.75,-12342.24,-3296.58,-36.9,-1053.99,USA,63.03,43.62,-33.59,127.09,-22.26,-6581.84,14,-727.95,-900.94,-30048.99,191.26,52.7,43.2,-2700.12,-355.68,221.52
-278.84,61.47,20.28,10.32,High,27.24,3283.22,176.8,6.4,-517.23,-95.82,0,-19.59,181.38,876.98,-180.14,-3536.37,11984.76,-37.28,-1063.67,Rest,264.63,49.44,34.66,78.33,-20.06,-3581.81,8,-1629.72,-1080.85,-39401.82,144.98,94.94,53.7,-2000.42,-335.07,3598.41
-245.88,39.57,20.85,12.27,Medium,47.6,12030.86,182.34,15.92,-370.29,-88.47,5,-23.04,-3133.92,3079.76,-231.84,2115.81,11562.75,-40.38,-1554.35,Europe,68.58,43.38,-272.16,99.75,-22.14,-4366.07,6,-1679.85,-1333.54,-32002.83,127.6,883.26,29.5,-3150.52,-138.87,759.46
-310.88,33.09,8.34,7.94,Very low,28.21,18025.2,252.44,8.82,-327.63,-68.34,7,-22.71,-551.88,3352.82,-248.54,-17494.62,18817.23,-36.96,-1338.69,Europe,171.66,44.94,-637.53,238.48,-6.64,-528.81,4,-2305.53,-700.8,-33756.06,127.59,790.99,43.86,-1328.56,-334.62,1204.76
-371.82,40.32,23.7,-16.64,Medium,46.59,12796.92,214.16,0.38,-477.78,-68.16,6,-17.67,-2622.12,2296.58,-255.79,14304.99,-3450.69,-42.82,-1312.21,UK,91.26,50.48,-221.71,128,-20.3,-1875.09,10,-3181.2,-923.47,-14746.32,189.9,-166.08,32.68,-1581.92,-180.06,452.88
-297.14,45.09,4.59,8.48,Very high,36.08,26900.8,143.02,11.32,-375.27,-52.92,7,-37.08,-3936.39,2355.74,-202.13,5079.75,13260.75,-42.54,-1003.86,USA,201.57,50.74,13.7,149.15,-11.86,235.51,6,-2351.13,-1433.83,-16494.09,110.92,182.08,51.54,-1993.22,-244.92,879.83
-221.6,46.56,14.19,-23.54,Very high,14.25,16908.54,150,0.78,-441.66,-72.99,3,-19.29,-1785.36,1750.8,-224.37,-7801.08,4422.18,-54.68,-1362.99,Rest,212.46,41.32,-377.83,181.92,-29.64,-2585.43,14,-452.85,-1244.67,-32131.59,103.95,262.08,39.32,-1012.78,-234.3,-33.24
-200.52,38.46,15.15,15.1,High,50.7,3538.74,49.52,194.4,-318.75,-103.5,6,-32.46,-4353.54,2236.88,-247.46,3274.02,3220.17,-38.56,-1267.79,USA,-49.11,37.42,-166.98,154,-28.82,-7191.15,10,-1233.3,-792.04,-36865.68,133.62,430.05,34.84,-2520.94,-327.42,775.32
-190.14,45.21,1.68,9.32,Very low,70.25,12876.08,132.96,239.6,-365.85,-79.77,2,-29.55,-3686.85,3374.16,-249.12,9262.95,-1137.69,-37.88,-1413.09,Rest,51.54,46.62,121.23,110.46,-19.36,-2405.49,8,-1837.89,-1245.21,-25636.65,136.37,256.24,37.74,-2460.6,-162.93,3269.37
-228.54,70.53,11.31,-1.67,High,46.11,22942.24,197.66,21.78,-346.77,-66.93,4,-23.22,-2655.96,1960.68,-245.88,-4065.9,-8720.55,-45.78,-274.53,USA,-78.03,34.4,-570.58,210.21,-23.72,-4883.12,6,-932.91,-702.99,-37847.79,129.19,958.57,35.16,-2774.84,-229.05,392.6
-258.92,60.87,8.37,46.04,Very low,34.38,12980.98,178.12,12.8,-456.21,-50.52,3,-16.11,-2565.3,2046.26,-237.14,-3536.4,2490.84,-42.02,-1221.4,USA,147.15,37.66,-473.93,-85.23,0.46,-1116.56,8,-1203.39,-866.31,-23121,117.7,424.23,33.28,-2327.96,-73.89,204.85
-284.2,47.67,8.79,-11.12,Very high,34.82,14975.26,247.62,0.08,-567.03,-66.09,5,-27.75,-2361.09,2496,-268.43,-4131.42,7934.04,-36.94,-1092.47,UK,21.9,43.38,-28.74,168.6,-20.18,-3501.62,8,-2133.45,-1139.27,-29983.53,-78.69,1077.4,57.96,-1882.12,-292.83,2064.84
-231.72,50.19,7.83,-2.8,Very low,22.08,1367.52,253,0.02,-460.26,-72.69,5,-19.26,-1261.44,3901.6,-236.93,-15046.44,17999.7,-44.66,-1435.77,USA,141.69,43.04,-248.4,115.31,-28.08,-4914.65,10,-1118.46,-853.26,-51613.35,39.41,592.26,37.92,-2118.44,-262.53,-243.62
-288.76,40.47,8.76,-3.68,High,71.95,3793.52,226.5,3.06,-375.6,-83.37,4,-22.77,-2338.98,3207.38,-239.1,-4493.1,6021.42,-39.74,-1591.77,Rest,14.97,37.94,-249.58,126.28,-16.34,1081.13,12,-287.04,-1204.72,-32273.82,149.76,376.06,31.88,-1308.68,-319.41,2620.04
-271.52,33.45,3.06,60.04,Medium,34.09,9669.42,276.6,0,-445.5,-73.92,5,-31.62,-2270.97,2317.56,-207.23,-11037.96,8610.96,-39.66,-1133.51,Rest,-235.11,53.14,63.46,101.69,-21.86,-3363.23,8,-1743.54,-882.3,-39913.89,134.93,587.21,38.16,-2411.98,-215.52,-111.36
-187.32,52.29,11.16,-33.32,High,48.46,7362.58,138.52,2.18,-481.68,-73.02,4,-27.57,-286.5,788.28,-225.7,-8824.5,10472.97,-39.44,-1150.18,Rest,128.7,24.3,-210.97,114.62,-22,43.1,6,-2253.06,-1383.53,-29050.98,160.93,240.58,20.64,-2147.94,-253.44,2332.87
-132.38,46.71,11.52,55.57,High,37.03,11599.74,155.92,0.8,-473.79,-78.51,1,-29.58,-3558.09,2113.54,-187.62,131.16,10608.45,-50.82,-980.54,UK,-58.32,35.1,6.68,72.97,-22.26,-2619.81,10,-2232.96,-1141.35,-43106.37,175.11,779.96,47.26,-2387.44,-269.04,-570.64
-295.14,45.36,1.23,20.08,Low,-17.06,-1144.9,194.28,0.74,-155.34,-75.27,3,-9.42,-3963.78,2172.64,-191.82,3700.65,4720.53,-43.38,-806.06,UK,255.96,56.46,-205.31,199.73,-20.74,842.73,6,-2407.02,-658.86,-24914.4,113.65,657.94,57.44,-3313.68,-128.91,-739
-181.76,45.57,14.64,43.15,High,61.37,6912.12,190.38,1.16,-438.06,-66.87,3,-24.15,-2240.88,1823.16,-196.75,-1810.53,13923.45,-41.9,-1323.46,Rest,132.51,33.26,-855.98,116.57,-27.14,-5219.54,4,-2447.82,-1393.34,-34822.98,155.98,476.7,35.16,-2614.94,-290.64,2017.03
-234.34,32.01,1.86,15.65,Low,32.48,16577.86,166.4,26.8,-339.42,-60.75,5,-13.14,-626.97,3783.22,-162.38,1683.48,4130.58,-37.82,-1468.46,UK,-22.2,49.88,73.84,67.81,-25.56,-786.71,4,-592.44,-1090.4,-45613.86,137.25,345.61,39.64,-1347.26,-275.37,2826.29
-282.44,45.39,23.52,-15.32,High,30.31,13304.14,166.72,0.14,-556.23,-67.47,0,-15.39,-1263.33,293.28,-193.64,15279.03,17749.2,-41.78,-1448.02,UK,171.93,29.7,90.45,174.22,-35.04,-6459.28,6,-881.28,-1341.53,-18191.58,123.08,804.23,40.06,-2172.42,-384.48,2448.25
-250.02,45.84,19.56,37.87,Medium,28.37,2005.46,216.04,0.06,-462.63,-85.62,3,-12.3,-1573.53,2901.44,-280.74,3389.4,6708.39,-39.16,-1035.29,UK,127.02,33.66,274.15,76.71,-23.88,-3597.81,4,-394.71,-915.33,-28264.17,95.12,-48.07,44.62,-2813.54,-193.14,339.31
-315.2,44.16,5.07,-12.18,High,112.16,12465.18,169.02,2,-502.14,-89.7,4,-35.37,-2417.04,2121.44,-242.48,-3371.91,12228.39,-38.4,-1794.65,Europe,269.91,46.92,429.37,104.55,-10.58,-2730.05,8,780.99,-1068.47,-28741.08,112.42,576.59,44.26,-2831.68,-399.57,848.98
